title,first_author,last_author,middle_authors,year,journal,doi,url
Fibroblastic reticular cells form reactive myeloid cell niches in human lymph nodes,Lütge Mechthild,Ludewig Burkhard,Kurz Lisa; Stanossek Yves; Meili Samuel; Cheng Hung-Wei; De Martin Angelina; Brandstadter Joshua; Maillard Ivan; Robinson Mark D.; Stoeckli Sandro J.; Pikor Natalia B.; Onder Lucas,2025,Science Immunology,10.1126/sciimmunol.ads6820,https://doi.org/10.1126/sciimmunol.ads6820
Cecelia: a multifunctional image analysis toolbox for decoding spatial cellular interactions and behaviour,Schienstock Dominik,Mueller Scott N.,Hor Jyh Liang; Devi Sapna,2025,Nature Communications,10.1038/s41467-025-57193-y,https://doi.org/10.1038/s41467-025-57193-y
Early Notch signals from fibroblastic reticular cells program effector CD8+ T cell differentiation,Maurice De Sousa Dave,Labrecque Nathalie,Perkey Eric; Le Corre Laure; Boulet Salix; Gómez Atria Daniela; Allman Anneka; Duval Frédéric; Daudelin Jean-François; Brandstadter Joshua D.; Lederer Katlyn; Mezrag Sarah; Odagiu Livia; Ennajimi Myriam; Sarrias Marion; Decaluwe Hélène; Koch Ute; Radtke Freddy; Ludewig Burkhard; Siebel Christian W.; Maillard Ivan,2025,Journal of Experimental Medicine,10.1084/jem.20231758,https://doi.org/10.1084/jem.20231758
Fibroblastic reticular cells generate protective intratumoral T cell environments in lung cancer,Onder Lucas,Ludewig Burkhard,Papadopoulou Chrysa; Lütge Almut; Cheng Hung-Wei; Lütge Mechthild; Perez-Shibayama Christian; Gil-Cruz Cristina; De Martin Angelina; Kurz Lisa; Cadosch Nadine; Pikor Natalia B.; Rodriguez Regulo; Born Diana; Jochum Wolfram; Leskow Pawel; Dutly Andre; Robinson Mark D.,2024,Cell,10.1016/j.cell.2024.10.042,https://doi.org/10.1016/j.cell.2024.10.042
Tumor-driven stromal reprogramming in the pre-metastatic lymph node,Piquet Michelle,Chang Jonathan,Ruddy David A; Cremasco Viviana,2024,F1000Research,10.12688/f1000research.145171.1,https://doi.org/10.12688/f1000research.145171.1
CCL19-Positive Lymph Node Stromal Cells Govern the Onset of Inflammatory Arthritis via Tropomyosin Receptor Kinase,Schälter Fabian,Zaiss Mario M.,Azizov Vugar; Frech Michael; Dürholz Kerstin; Schmid Eva; Hendel Anna; Sarfati Ilann; Maeda Yuichi; Sokolova Maria; Miyagawa Ippei; Focke Kristin; Sarter Kerstin; van Baarsen Lisa G. M.; Krautwald Stefan; Schett Georg,2024,"Arthritis & Rheumatology (Hoboken, N.J.)",10.1002/art.42807,https://doi.org/10.1002/art.42807
Stromal cell and B cell dialogue potentiates IL-33-enriched lymphoid niches to support eosinophil recruitment and function during type 2 immunity,Bessell Emily,Dubey Lalit Kumar,Finlay Rachel E.; James Louisa K.; Ludewig Burkhard; Harris Nicola L.; Krebs Philippe; Hepworth Matthew R.,2024,Cell Reports,10.1016/j.celrep.2024.114620,https://doi.org/10.1016/j.celrep.2024.114620
A lymphoid tissue chemokine checkpoint prevents loss of CD8+ T cell functionality,Altenburger Lukas M,Stein Jens V,Claudino Carvoeiro Daniela; Dehio Philippe; Zhou Jianwen; Laura Chiara; Katoch Mitali; Krueger Caroline; Barreto De Albuquerque Juliana; Pfenninger Petra; Martinez Magdaleno Jose; Abe Jun; Mehling Matthias; Dengjel Joern; Iannacone Matteo; Hashemi Gheinani Ali,2024,,10.1101/2024.09.19.613830,https://doi.org/10.1101/2024.09.19.613830
Localized <i>in vivo</i> gene editing of murine cancer-associated fibroblasts,Kuhn Nicholas F.,Krummel Matthew F.,Zaleta-Linares Itzia; Nyberg William A.; Eyquem Justin,2024,,10.1101/2024.07.11.603114,https://doi.org/10.1101/2024.07.11.603114
Ex vivo Model of Functioning Human Lymph Node Reveals Pivotal Role for Innate Lymphoid Cells and Stromal Populations in Response to Vaccine Adjuvant,Fergusson Joannah,Milicic Anita,Siu Jacqueline; Gupta Nitya; Nee Eloise; Reinke Soren; Stroebel Tamara; Bhalla Ananya; Kandage Shyami; Courant Thomas; Hill Sarah; Attar Moustafa; Gordon-Weeks Alex; Coles Mark; Dendrou Calliope,2024,,10.1101/2024.08.21.608943,https://doi.org/10.1101/2024.08.21.608943
The transcription factor SpiB regulates the fibroblastic reticular cell network and CD8+ T-cell responses in lymph nodes,Horsnell Harry L,Alexandre Yannick O,Cao Wang HJ; Belz Gabrielle T; Mueller Scott N,2024,Immunology & Cell Biology,10.1111/imcb.12740,https://doi.org/10.1111/imcb.12740
Leptin Receptor Deficiency Impairs Lymph Node Development and Adaptive Immune Response,Cardani-Boulton Amber,Braciale Thomas J.,Sung Sun-Sang J.; Petri William A.; Hahn Young S.,2024,The Journal of Immunology,10.4049/jimmunol.2100985,https://doi.org/10.4049/jimmunol.2100985
Cancer cell-derived extracellular vesicles drive pre-metastatic niche formation of lymph node via IFNGR1/JAK1/STAT1-activated-PD-L1 expression on FRCs in head and neck cancer,Han Nannan,Zhang Chenping,Zhou Di; Ruan Min; Yan Ming,2023,Oral Oncology,10.1016/j.oraloncology.2023.106524,https://doi.org/10.1016/j.oraloncology.2023.106524
Lymph Node Fibroblastic Reticular Cells Attenuate Immune Responses Through Induction of Tolerogenic Macrophages at Early Stage of Transplantation,Liu Beichen,Ren Hanyun,Liu Huihui; Liu Siwei; Qin Chenchen; He Xiaoya; Song Zhengyang; Dong Yujun,2023,Transplantation,10.1097/TP.0000000000004245,https://doi.org/10.1097/TP.0000000000004245
Spleen fibroblastic reticular cell-derived acetylcholine promotes lipid metabolism to drive autoreactive B cell responses,Zeng Qin,Zhang Hui,Wang Shuyi; Li Mengyuan; Wang Shuang; Guo Chaohuan; Ruan Xinyuan; Watanabe Ryu; Lai Yimei; Huang Yuefang; Yin Xiaoyu; Zhang Chuanzhao; Chen Binfeng; Yang Niansheng,2023,Cell Metabolism,10.1016/j.cmet.2023.03.010,https://doi.org/10.1016/j.cmet.2023.03.010
Bioinspired 3D microprinted cell scaffolds: Integration of graph theory to recapitulate complex network wiring in lymph nodes,Chin Matthew H. W.,Coppens Marc-Olivier,Reid Barry; Lachina Veronika; Acton Sophie E.,2023,Biotechnology Journal,10.1002/biot.202300359,https://doi.org/10.1002/biot.202300359
Identification and mapping of human lymph node stromal cell subsets by combining single-cell RNA sequencing with spatial transcriptomics.,Grasso Cristoforo,Mebius Reina E,Roet Janna; de Graça Catarina Gago; Remmerswaal Ester; Jongejan Aldo; Moerland Perry D,2023,,,
Tumor-activated lymph node fibroblasts suppress T cell function in diffuse large B cell lymphoma,Apollonio Benedetta,Ramsay Alan G.,Spada Filomena; Petrov Nedyalko; Cozzetto Domenico; Papazoglou Despoina; Jarvis Peter; Kannambath Shichina; Terranova-Barberio Manuela; Amini Rose-Marie; Enblad Gunilla; Graham Charlotte; Benjamin Reuben; Phillips Elisabeth; Ellis Richard; Nuamah Rosamond; Saqi Mansoor; Calado Dinis P.; Rosenquist Richard; Sutton Lesley A.; Salisbury Jon; Zacharioudakis Georgios; Vardi Anna; Hagner Patrick R.; Gandhi Anita K.; Bacac Marina; Claus Christina; Umana Pablo; Jarrett Ruth F.; Klein Christian; Deutsch Alexander,2023,The Journal of Clinical Investigation,10.1172/JCI166070,https://doi.org/10.1172/JCI166070
A distinct stimulatory cDC1 subpopulation amplifies CD8+ T cell responses in tumors for protective anti-cancer immunity,Meiser Philippa,Böttcher Jan P.,Knolle Moritz A.; Hirschberger Anna; de Almeida Gustavo P.; Bayerl Felix; Lacher Sebastian; Pedde Anna-Marie; Flommersfeld Sophie; Hönninger Julian; Stark Leonhard; Stögbauer Fabian; Anton Martina; Wirth Markus; Wohlleber Dirk; Steiger Katja; Buchholz Veit R.; Wollenberg Barbara; Zielinski Christina E.; Braren Rickmer; Rueckert Daniel; Knolle Percy A.; Kaissis Georgios,2023,Cancer Cell,10.1016/j.ccell.2023.06.008,https://doi.org/10.1016/j.ccell.2023.06.008
